model,instruction,response
,Quais foram as principais contribuições de Georg Wilhelm Friedrich Hegel para a filosofia?,"1. Hegel foi um filósofo alemão que desenvolveu a filosofia de ação, a filosofia da história e a filosofia da natureza."
,"Em 2021, qual foi o IDH de Seicheles?","2021, o IDH de Seicheles foi de 0,710."
,Descreva a bandeira de Israel.,"
A bandeira de Israel é composta por três colores: azul, vermelho e branco."
, Quantas vezes o Brasil foi campeão da Copa do Mundo?,"1958, 1962, 1970, 1994, 1998, 2002, 2014, 2018, 2022"
,Me dê um exemplo de pergunta de um quiz sobre: Geografia.,1. Qual é a capital do Brasil? Rio de Janeiro
,Qual a categoria da pergunta a seguir: Fallout foi lançado antes do ano 2000?.,100%
, Quais são os idiomas oficiais da Bélgica?,1. Francês 2. Neerlandês 3. Brabanti 4. Valão 5. Limburguês 6. Flemingo 7. Oudenaarder 8. Antuérpiano 9. Antuérpico 10. Antuérpico 11. Antuér
, Quantos campeonatos de Fórmula 1 venceu o piloto brasileiro Ayrton Senna?,"1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998,"
,A cidade de Ribeirão Preto pertence a qual estado?,São Paulo
,"Escreva uma continuação para o parágrafo a seguir - Em 1981, foi apontado como prefeito da Congregação para a Doutrina da Fé pelo Papa João Paulo II, cargo que manteve até ao falecimento do seu predecessor. Foi designado cardeal-bispo da Sé Episcopal de Velletri-Segni em 1993, e tornou-se Decano do Colégio dos Cardeais em 2002, tornando-se o bispo titular de Ostia. Participou do Conclave de agosto de 1978 que elegeu o Papa João Paulo I e do conclave de outubro",1
